timestamp,city_name,series_ticker,event_ticker,market_ticker,side,entry_price,model_probability,best_edge,recommended_position_dollars,execution_status,actual_high_temp,resolved_outcome,trade_won,realized_pnl
2026-04-21 17:28:48,New York City,KXHIGHNY,KXHIGHNY-26APR22,KXHIGHNY-26APR22-T57,YES,0.64,0.7783055456428805,0.13830554564288045,5.0,EXECUTE,53.06,YES,True,1.7999999999999998
2026-04-21 17:29:23,New York City,KXHIGHNY,KXHIGHNY-26APR22,KXHIGHNY-26APR22-T57,YES,0.64,0.7783055456428805,0.13830554564288045,5.0,EXECUTE,53.06,YES,True,1.7999999999999998
2026-04-23 15:33:12,New York City,KXHIGHNY,KXHIGHNY-26APR24,KXHIGHNY-26APR24-B66.5,NO,0.59,0.06901577311483409,0.34098422688516594,20.0,EXECUTE,68.0,NO,True,8.200000000000001
2026-04-23 15:33:13,Miami,KXHIGHMIA,KXHIGHMIA-26APR24,KXHIGHMIA-26APR24-B82.5,NO,0.54,0.15710496395161408,0.30289503604838586,20.0,EXECUTE,84.2,NO,True,9.2
2026-04-23 15:33:15,Los Angeles,KXHIGHLAX,KXHIGHLAX-26APR24,KXHIGHLAX-26APR24-B70.5,NO,0.61,0.09307800042127949,0.29692199957872056,20.0,EXECUTE,73.4,NO,True,7.800000000000001
2026-04-23 21:27:39,Los Angeles,KXHIGHLAX,KXHIGHLAX-26APR24,KXHIGHLAX-26APR24-B72.5,NO,0.47,0.19669016942960937,0.33330983057039065,20.0,EXECUTE,73.4,NO,True,10.600000000000001
2026-04-24 11:26:33,New York City,KXHIGHNY,KXHIGHNY-26APR25,KXHIGHNY-26APR25-T51,YES,0.42,0.6543556225128248,0.23435562251282477,10.0,EXECUTE,50.0,YES,True,5.800000000000001
2026-04-24 14:14:27,Miami,KXHIGHMIA,KXHIGHMIA-26APR25,KXHIGHMIA-26APR25-B85.5,NO,0.54,0.035770445151991646,0.4242295548480083,20.0,EXECUTE,84.2,NO,True,9.2
2026-04-24 20:46:48,Los Angeles,KXHIGHLAX,KXHIGHLAX-26APR25,KXHIGHLAX-26APR25-B62.5,NO,0.7,0.13466493437117039,0.1653350656288297,2.0,EXECUTE,66.2,NO,True,0.6000000000000001
2026-04-24 23:32:27,New York City,KXHIGHNY,KXHIGHNY-26APR25,KXHIGHNY-26APR25-B51.5,NO,0.54,0.29402093402796703,0.16597906597203294,10.0,EXECUTE,50.0,NO,True,4.6
2026-04-25 15:25:00,New York City,KXHIGHNY,KXHIGHNY-26APR26,KXHIGHNY-26APR26-B51.5,YES,0.07,0.33803490963808647,0.26803490963808646,10.0,EXECUTE,55.94,NO,False,-0.7000000000000001
2026-04-25 15:25:04,Miami,KXHIGHMIA,KXHIGHMIA-26APR26,KXHIGHMIA-26APR26-T87,NO,0.76,0.007399595572231893,0.23260040442776808,18.0,EXECUTE,87.8,YES,False,-13.68
2026-04-25 15:35:37,Miami,KXHIGHMIA,KXHIGHMIA-26APR26,KXHIGHMIA-26APR26-B86.5,NO,0.49,0.07567329668145138,0.4343267033185486,20.0,EXECUTE,87.8,NO,True,10.2
2026-04-25 16:40:22,New York City,KXHIGHNY,KXHIGHNY-26APR26,KXHIGHNY-26APR26-B57.5,NO,0.7,0.02271780942616267,0.2772821905738374,20.0,EXECUTE,55.94,NO,True,6.000000000000001
