timestamp,city_name,series_ticker,event_ticker,market_ticker,title,side,entry_price,model_probability,best_edge,recommended_position_dollars,execution_status,simulated_action
2026-04-21 17:28:48,New York City,KXHIGHNY,KXHIGHNY-26APR22,KXHIGHNY-26APR22-T57,"Will the **high temp in NYC** be <57Â° on Apr 22, 2026?",YES,0.64,0.7783055456428805,0.13830554564288045,5,EXECUTE,BUY 5 contracts of YES at 0.6400
2026-04-21 17:29:23,New York City,KXHIGHNY,KXHIGHNY-26APR22,KXHIGHNY-26APR22-T57,"Will the **high temp in NYC** be <57Â° on Apr 22, 2026?",YES,0.64,0.7783055456428805,0.13830554564288045,5,EXECUTE,BUY 5 contracts of YES at 0.6400
2026-04-23 15:33:12,New York City,KXHIGHNY,KXHIGHNY-26APR24,KXHIGHNY-26APR24-B66.5,"Will the **high temp in NYC** be 66-67° on Apr 24, 2026?",NO,0.59,0.06901577311483409,0.34098422688516594,20,EXECUTE,BUY 20 contracts of NO at 0.5900
2026-04-23 15:33:13,Miami,KXHIGHMIA,KXHIGHMIA-26APR24,KXHIGHMIA-26APR24-B82.5,"Will the **high temp in Miami** be 82-83° on Apr 24, 2026?",NO,0.54,0.15710496395161408,0.30289503604838586,20,EXECUTE,BUY 20 contracts of NO at 0.5400
2026-04-23 15:33:15,Los Angeles,KXHIGHLAX,KXHIGHLAX-26APR24,KXHIGHLAX-26APR24-B70.5,"Will the **high temp in LA** be 70-71° on Apr 24, 2026?",NO,0.61,0.09307800042127949,0.29692199957872056,20,EXECUTE,BUY 20 contracts of NO at 0.6100
2026-04-23 21:27:39,Los Angeles,KXHIGHLAX,KXHIGHLAX-26APR24,KXHIGHLAX-26APR24-B72.5,"Will the **high temp in LA** be 72-73° on Apr 24, 2026?",NO,0.47,0.19669016942960937,0.33330983057039065,20,EXECUTE,BUY 20 contracts of NO at 0.4700
2026-04-24 11:26:33,New York City,KXHIGHNY,KXHIGHNY-26APR25,KXHIGHNY-26APR25-T51,"Will the **high temp in NYC** be <51° on Apr 25, 2026?",YES,0.42,0.6543556225128248,0.23435562251282477,10,EXECUTE,BUY 10 contracts of YES at 0.4200
2026-04-24 14:14:27,Miami,KXHIGHMIA,KXHIGHMIA-26APR25,KXHIGHMIA-26APR25-B85.5,"Will the **high temp in Miami** be 85-86° on Apr 25, 2026?",NO,0.54,0.035770445151991646,0.4242295548480083,20,EXECUTE,BUY 20 contracts of NO at 0.5400
2026-04-24 20:46:48,Los Angeles,KXHIGHLAX,KXHIGHLAX-26APR25,KXHIGHLAX-26APR25-B62.5,"Will the **high temp in LA** be 62-63° on Apr 25, 2026?",NO,0.7,0.13466493437117039,0.1653350656288297,2,EXECUTE,BUY 2 contracts of NO at 0.7000
2026-04-24 23:32:27,New York City,KXHIGHNY,KXHIGHNY-26APR25,KXHIGHNY-26APR25-B51.5,"Will the **high temp in NYC** be 51-52° on Apr 25, 2026?",NO,0.54,0.29402093402796703,0.16597906597203294,10,EXECUTE,BUY 10 contracts of NO at 0.5400
